source,destination,permanent,reason
/faqs/,/faq.html,true,legacy-live-route
/filtration,/filtration.html,true,clean-option-route
/filtration-services-lehi-ut,/filtration.html,true,legacy-live-route
/filtration-services-lehi-ut/,/filtration.html,true,legacy-live-route
/filtration/,/filtration.html,true,clean-option-route
/financing,/financing.html,true,clean-option-route
/financing/,/financing.html,true,clean-option-route
/fireplace,/fireplace.html,true,clean-option-route
/fireplace/,/fireplace.html,true,clean-option-route
/fix-hvac-system-when-it-stops-working,/hvac-troubleshooter.html,true,legacy-live-route
/fix-hvac-system-when-it-stops-working/,/hvac-troubleshooter.html,true,legacy-live-route
/furnace,/furnace.html,true,clean-option-route
/furnace-inspection-lehi-ut,/heating-services.html,true,legacy-live-route
/furnace-inspection-lehi-ut/,/heating-services.html,true,legacy-live-route
/furnace-installation,/furnace-installation.html,true,clean-option-route
/furnace-installation-lehi-ut,/heating-installation.html,true,legacy-live-route
/furnace-installation-lehi-ut/,/heating-installation.html,true,legacy-live-route
/furnace-installation/,/furnace-installation.html,true,clean-option-route
/furnace-maintenance,/furnace-maintenance.html,true,clean-option-route
/furnace-maintenance-lehi-ut,/heating-maintenance.html,true,legacy-live-route
/furnace-maintenance-lehi-ut/,/heating-maintenance.html,true,legacy-live-route
/furnace-maintenance/,/furnace-maintenance.html,true,clean-option-route
/furnace-repair,/furnace-repair.html,true,clean-option-route
/furnace-repair-eagle-mountain-ut,/furnace-repair-eagle-mountain-ut.html,true,clean-option-route
/furnace-repair-eagle-mountain-ut/,/furnace-repair-eagle-mountain-ut.html,true,clean-option-route
/furnace-repair-lehi-ut,/furnace-repair-lehi-ut.html,true,legacy-live-route
/furnace-repair-lehi-ut/,/furnace-repair-lehi-ut.html,true,legacy-live-route
/furnace-repair-orem-ut,/furnace-repair-orem-ut.html,true,clean-option-route
/furnace-repair-orem-ut/,/furnace-repair-orem-ut.html,true,clean-option-route
/furnace-repair-sandy-ut,/furnace-repair-sandy-ut.html,true,clean-option-route
/furnace-repair-sandy-ut/,/furnace-repair-sandy-ut.html,true,clean-option-route
/furnace-repair-saratoga-springs-ut,/furnace-repair-saratoga-springs-ut.html,true,clean-option-route
